#'chr'	'start'	'end'	'240618_12_FZ_bCT_H3K4me3_Xeno_ep-_120_S22.filtered.bam'	'240618_11_FZ_bCT_H3K27me3_Xeno_ep-_120_S21.filtered.bam'	#'chr'	'start'	'end'	'15082024_KH_X-96-well_H3K27me3_S39.filtered.bam'	'13082024_KH_X-ALI_H3K27me3_S20.filtered.bam'	'13082024_KH_X-ALI_H3K4me3_S21.filtered.bam'	'15082024_KH_X-ALI_H3K27me3_S36.filtered.bam'	'13082024_KH_X-96-well_H3K4me3_S24.filtered.bam'	'13082024_KH_X-96-well_H3K27me3_S23.filtered.bam'	'15082024_KH_X-ALI_H3K4me3_S37.filtered.bam'	'13082024_KH_X-ALI_H3_S22.filtered.bam'	'15082024_KH_X-ALI_H3_S38.filtered.bam'	'15082024_KH_X-96-well_H3_S41.filtered.bam'	'15082024_KH_X-96-well_H3K4me3_S40.filtered.bam'	'13082024_KH_X-96-well_H3_S25.filtered.bam'	#'chr'	'start'	'end'	'01102024_KH_X-ALI_H3_S3.filtered.bam'	'01102024_KH_X-ALI_H3K27me3_S1.filtered.bam'	'01102024_KH_X-96-well_H3_S6.filtered.bam'	'01102024_KH_X-96-well_H3K27ac_S8.filtered.bam'	'01102024_KH_X-96-well_H3K27me3_OldConA_test_S9.filtered.bam'	'01102024_KH_X-ALI_H3K27ac_S7.filtered.bam'	'01102024_KH_X-96-well_H3K4me3_S5.filtered.bam'	'01102024_KH_X-ALI_H3K4me3_S2.filtered.bam'	'01102024_KH_X-96-well_H3K27me3_S4.filtered.bam'
NC_001416.1_spikein	14000	15000	9946.0	6813.0	NC_001416.1_spikein	14000	15000	5639.0	6.0	6244.0	4912.0	8060.0	3155.0	5615.0	1968.0	3065.0	2330.0	6332.0	3271.0	NC_001416.1_spikein	14000	15000	3180.0	3603.0	3001.0	4883.0	3849.0	4695.0	7860.0	4425.0	6595.0
NC_001416.1_spikein	15000	16000	13215.0	8877.0	NC_001416.1_spikein	15000	16000	7266.0	12.0	9176.0	6880.0	11368.0	4142.0	7348.0	2700.0	4076.0	3031.0	8675.0	4683.0	NC_001416.1_spikein	15000	16000	4154.0	4542.0	4085.0	5897.0	5068.0	6205.0	10394.0	5782.0	8862.0
NC_001416.1_spikein	16000	17000	14539.0	9669.0	NC_001416.1_spikein	16000	17000	8862.0	24.0	9520.0	8456.0	12343.0	4865.0	10042.0	3374.0	5535.0	3708.0	9885.0	5478.0	NC_001416.1_spikein	16000	17000	5286.0	5785.0	4860.0	7272.0	6428.0	7631.0	12999.0	7185.0	11498.0
NC_001416.1_spikein	17000	18000	8866.0	5660.0	NC_001416.1_spikein	17000	18000	5226.0	14.0	5689.0	5208.0	7920.0	2894.0	5929.0	2004.0	3184.0	2332.0	6477.0	3162.0	NC_001416.1_spikein	17000	18000	3146.0	3529.0	3073.0	4432.0	3782.0	4728.0	7841.0	4458.0	6832.0
NC_001416.1_spikein	18000	19000	9703.0	6353.0	NC_001416.1_spikein	18000	19000	5168.0	12.0	6177.0	4558.0	7674.0	2959.0	5069.0	1917.0	2861.0	2159.0	6011.0	3160.0	NC_001416.1_spikein	18000	19000	2682.0	3116.0	2776.0	4013.0	3600.0	4271.0	6957.0	3929.0	6104.0
NC_001416.1_spikein	19000	20000	14287.0	9630.0	NC_001416.1_spikein	19000	20000	7853.0	28.0	9230.0	7421.0	11433.0	4558.0	7953.0	2957.0	4499.0	3559.0	9239.0	4958.0	NC_001416.1_spikein	19000	20000	4702.0	5138.0	4488.0	6804.0	5708.0	6851.0	11599.0	6855.0	9904.0
NC_001416.1_spikein	20000	21000	6919.0	4441.0	NC_001416.1_spikein	20000	21000	3955.0	16.0	4468.0	3630.0	5745.0	2130.0	4201.0	1493.0	2489.0	1691.0	4472.0	2387.0	NC_001416.1_spikein	20000	21000	2290.0	2548.0	2116.0	3045.0	2817.0	3198.0	5550.0	3186.0	4802.0
NC_001416.1_spikein	21000	22000	11403.0	7640.0	NC_001416.1_spikein	21000	22000	6121.0	8.0	7604.0	5300.0	9253.0	3548.0	6197.0	2277.0	3259.0	2687.0	7240.0	3847.0	NC_001416.1_spikein	21000	22000	3057.0	3542.0	2976.0	4883.0	3867.0	4913.0	8358.0	4697.0	6925.0
NC_001416.1_spikein	22000	23000	5496.0	3973.0	NC_001416.1_spikein	22000	23000	2560.0	2.0	4014.0	1916.0	4368.0	1668.0	1886.0	789.0	894.0	945.0	3263.0	1569.0	NC_001416.1_spikein	22000	23000	1047.0	1288.0	1115.0	2075.0	1464.0	1846.0	3249.0	1909.0	2581.0
NC_001416.1_spikein	23000	24000	2476.0	1903.0	NC_001416.1_spikein	23000	24000	861.0	0.0	1963.0	483.0	2233.0	680.0	464.0	242.0	231.0	295.0	1103.0	591.0	NC_001416.1_spikein	23000	24000	272.0	358.0	305.0	664.0	381.0	595.0	908.0	612.0	779.0
NC_001416.1_spikein	24000	25000	5490.0	4063.0	NC_001416.1_spikein	24000	25000	2500.0	6.0	4169.0	1926.0	4342.0	1593.0	2104.0	774.0	1200.0	1065.0	2981.0	1622.0	NC_001416.1_spikein	24000	25000	1100.0	1404.0	1219.0	1937.0	1499.0	1874.0	3302.0	1962.0	2606.0
NC_001416.1_spikein	25000	26000	4083.0	3226.0	NC_001416.1_spikein	25000	26000	1810.0	0.0	3307.0	1184.0	3471.0	1065.0	1213.0	503.0	578.0	627.0	2085.0	1156.0	NC_001416.1_spikein	25000	26000	630.0	950.0	694.0	1379.0	928.0	1307.0	2119.0	1284.0	1521.0
NC_001416.1_spikein	26000	27000	4034.0	2963.0	NC_001416.1_spikein	26000	27000	1472.0	0.0	3085.0	961.0	3276.0	1072.0	822.0	426.0	416.0	541.0	1781.0	935.0	NC_001416.1_spikein	26000	27000	443.0	700.0	524.0	980.0	648.0	1067.0	1663.0	1060.0	1294.0
NC_001416.1_spikein	27000	28000	7688.0	5518.0	NC_001416.1_spikein	27000	28000	3672.0	6.0	5575.0	2962.0	7078.0	2313.0	3001.0	1126.0	1679.0	1298.0	4612.0	2401.0	NC_001416.1_spikein	27000	28000	1438.0	1952.0	1712.0	2703.0	2072.0	2762.0	4596.0	2640.0	3581.0
NC_001416.1_spikein	28000	29000	8974.0	5815.0	NC_001416.1_spikein	28000	29000	3996.0	2.0	5979.0	3405.0	6738.0	2570.0	3569.0	1340.0	1770.0	1732.0	5033.0	2682.0	NC_001416.1_spikein	28000	29000	1710.0	2104.0	1783.0	3246.0	2338.0	3131.0	5090.0	3207.0	4209.0
NC_001416.1_spikein	29000	30000	8929.0	5977.0	NC_001416.1_spikein	29000	30000	4368.0	2.0	6397.0	3321.0	7596.0	2708.0	3480.0	1449.0	1904.0	1698.0	5082.0	2611.0	NC_001416.1_spikein	29000	30000	1712.0	2332.0	1891.0	3342.0	2347.0	3255.0	5531.0	3184.0	4273.0
NC_001416.1_spikein	30000	31000	8200.0	5162.0	NC_001416.1_spikein	30000	31000	3852.0	4.0	5453.0	3242.0	6031.0	2266.0	3555.0	1338.0	1971.0	1569.0	4434.0	2345.0	NC_001416.1_spikein	30000	31000	1743.0	2095.0	1753.0	3021.0	2381.0	2965.0	4883.0	2848.0	4028.0
NC_001416.1_spikein	31000	32000	7980.0	5369.0	NC_001416.1_spikein	31000	32000	3932.0	10.0	5093.0	3261.0	6003.0	2377.0	3533.0	1411.0	1940.0	1560.0	4842.0	2470.0	NC_001416.1_spikein	31000	32000	1902.0	2376.0	1952.0	3269.0	2482.0	2999.0	5136.0	3312.0	4560.0
NC_001416.1_spikein	32000	33000	9888.0	6432.0	NC_001416.1_spikein	32000	33000	5152.0	8.0	6690.0	4721.0	8133.0	3374.0	5417.0	1926.0	2754.0	2167.0	6251.0	3306.0	NC_001416.1_spikein	32000	33000	2826.0	3132.0	2659.0	4278.0	3445.0	4335.0	7388.0	4170.0	5971.0
NC_001416.1_spikein	33000	34000	7253.0	4838.0	NC_001416.1_spikein	33000	34000	3352.0	1.0	5239.0	2495.0	5911.0	1973.0	2584.0	1119.0	1377.0	1251.0	4003.0	2055.0	NC_001416.1_spikein	33000	34000	1361.0	1665.0	1366.0	2514.0	1832.0	2440.0	3913.0	2387.0	3230.0
NC_001416.1_spikein	34000	35000	10043.0	6777.0	NC_001416.1_spikein	34000	35000	4453.0	4.0	7011.0	3372.0	8173.0	2761.0	3625.0	1478.0	1758.0	1729.0	5442.0	2794.0	NC_001416.1_spikein	34000	35000	1702.0	2230.0	1876.0	3307.0	2398.0	3200.0	5516.0	3229.0	4397.0
NC_001416.1_spikein	35000	36000	7556.0	5333.0	NC_001416.1_spikein	35000	36000	3711.0	6.0	5626.0	2942.0	6507.0	2366.0	3312.0	1235.0	1772.0	1475.0	4733.0	2387.0	NC_001416.1_spikein	35000	36000	1676.0	2087.0	1580.0	2969.0	2140.0	2780.0	4911.0	2725.0	3904.0
NC_001416.1_spikein	36000	37000	5656.0	4312.0	NC_001416.1_spikein	36000	37000	2819.0	4.0	4496.0	2001.0	5105.0	1667.0	2050.0	922.0	1139.0	1036.0	3302.0	1726.0	NC_001416.1_spikein	36000	37000	1137.0	1450.0	1063.0	2103.0	1470.0	1896.0	3271.0	1988.0	2581.0
NC_001416.1_spikein	37000	38000	8439.0	6051.0	NC_001416.1_spikein	37000	38000	4347.0	7.0	6185.0	3337.0	7309.0	2555.0	3506.0	1446.0	1912.0	1607.0	5015.0	2474.0	NC_001416.1_spikein	37000	38000	1672.0	2044.0	1817.0	3122.0	2304.0	3074.0	5009.0	2839.0	4209.0
NC_001416.1_spikein	38000	39000	8182.0	5761.0	NC_001416.1_spikein	38000	39000	4016.0	10.0	5934.0	3143.0	6850.0	2450.0	3195.0	1234.0	1623.0	1552.0	4772.0	2453.0	NC_001416.1_spikein	38000	39000	1706.0	2142.0	1692.0	2715.0	2103.0	2945.0	4806.0	2793.0	3791.0
NC_001416.1_spikein	39000	40000	8278.0	5547.0	NC_001416.1_spikein	39000	40000	4260.0	6.0	5526.0	3674.0	6584.0	2416.0	4068.0	1622.0	2120.0	1785.0	4821.0	2698.0	NC_001416.1_spikein	39000	40000	2227.0	2616.0	2241.0	3290.0	2823.0	3514.0	5940.0	3309.0	5185.0
NC_001416.1_spikein	40000	41000	11921.0	8059.0	NC_001416.1_spikein	40000	41000	5910.0	6.0	8095.0	5206.0	8999.0	3474.0	5646.0	2118.0	2839.0	2454.0	7026.0	3822.0	NC_001416.1_spikein	40000	41000	3113.0	3479.0	2961.0	4859.0	3828.0	4761.0	8067.0	4551.0	6924.0
NC_001416.1_spikein	41000	42000	9394.0	5976.0	NC_001416.1_spikein	41000	42000	4433.0	2.0	5926.0	3808.0	7054.0	2588.0	4014.0	1504.0	2231.0	1841.0	5240.0	2742.0	NC_001416.1_spikein	41000	42000	2102.0	2643.0	2256.0	3578.0	2681.0	3575.0	5839.0	3525.0	5146.0
NC_001416.1_spikein	42000	43000	9070.0	6091.0	NC_001416.1_spikein	42000	43000	4437.0	4.0	5780.0	3978.0	6625.0	2715.0	4184.0	1638.0	2318.0	1915.0	5149.0	2930.0	NC_001416.1_spikein	42000	43000	2224.0	2536.0	2332.0	3541.0	2794.0	3480.0	5767.0	3510.0	5040.0
NC_001416.1_spikein	43000	44000	5808.0	4037.0	NC_001416.1_spikein	43000	44000	3058.0	0.0	4007.0	2270.0	4631.0	1718.0	2476.0	1006.0	1418.0	1148.0	3381.0	1657.0	NC_001416.1_spikein	43000	44000	1189.0	1529.0	1337.0	2218.0	1750.0	2235.0	3844.0	2223.0	2969.0
NC_001416.1_spikein	44000	45000	10799.0	7395.0	NC_001416.1_spikein	44000	45000	5658.0	9.0	7242.0	5077.0	8729.0	3421.0	5362.0	2122.0	3014.0	2469.0	6687.0	3504.0	NC_001416.1_spikein	44000	45000	2903.0	3355.0	2866.0	4616.0	3720.0	4221.0	7477.0	4394.0	6442.0
NC_001416.1_spikein	45000	46000	7217.0	4799.0	NC_001416.1_spikein	45000	46000	3357.0	5.0	4871.0	3072.0	5901.0	2305.0	3345.0	1292.0	1798.0	1561.0	4111.0	2139.0	NC_001416.1_spikein	45000	46000	1731.0	2046.0	1628.0	2884.0	2182.0	2898.0	4897.0	2670.0	3772.0
NC_001416.1_spikein	46000	47000	7437.0	5308.0	NC_001416.1_spikein	46000	47000	3709.0	0.0	5355.0	3086.0	6561.0	2298.0	3149.0	1180.0	1619.0	1422.0	4338.0	2322.0	NC_001416.1_spikein	46000	47000	1686.0	1979.0	1617.0	2884.0	2088.0	2781.0	4748.0	2700.0	3904.0
NC_001416.1_spikein	47000	48000	5120.0	3715.0	NC_001416.1_spikein	47000	48000	2601.0	2.0	4025.0	1759.0	4735.0	1594.0	2003.0	734.0	984.0	880.0	3029.0	1588.0	NC_001416.1_spikein	47000	48000	910.0	1235.0	940.0	1864.0	1267.0	1732.0	2966.0	1780.0	2369.0
