#'chr'	'start'	'end'	'240618_05_FZ_bCT_H3K27me3_ALI_ep-_120_S15.filtered.bam'	'240618_06_FZ_bCT_H3K4me3_ALI_ep-_120_S16.filtered.bam'	'240618_09_FZ_bCT_H3K4me3_96w_ep-_120_S19.filtered.bam'	'240618_08_FZ_bCT_H3K27me3_96w_ep-_120_S18.filtered.bam'	'240618_10_FZ_bCT_H3K27me3_96w_epplus_6_S20.filtered.bam'	'240618_07_FZ_bCT_H3K27me3_ALI_epplus_6_S17.filtered.bam'	#'chr'	'start'	'end'	'15082024_KH_M-96-well_H3K27ac_S34.filtered.bam'	'07082024_KH_M-96-well_H3_S10.filtered.bam'	'29082024_KH_M-Epcam-96-well_H3K4me3_S47.filtered.bam'	'07082024_KH_M-96-well_H3K4me3_S8.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K4me3_S53.filtered.bam'	'21082024_KH_M-Epcam-96-well_H3K27me3_S45.filtered.bam'	'13082024_KH_M-ALI_H3K27ac_S14.filtered.bam'	'15082024_KH_M-ALI_H3K27me3_S26.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K9me3_S56.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K4me3_S48.filtered.bam'	'15082024_KH_M-ALI_H3_S30.filtered.bam'	'21082024_KH_M-Epcam-96-well_H3K4me3_S44.filtered.bam'	'13082024_KH_M-96-well_H3K4me3_S17.filtered.bam'	'07082024_KH_M-96-well_H3K9me3_S7.filtered.bam'	'07082024_KH_M-ALI_H3K9me3_S2.filtered.bam'	'15082024_KH_M-96-well_H3K9me3_S32.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K9me3_S51.filtered.bam'	'13082024_KH_M-96-well_H3K27ac_S18.filtered.bam'	'07082024_KH_M-ALI_H3K27me3_S1.filtered.bam'	'07082024_KH_M-ALI_H3K27ac_S4.filtered.bam'	'21082024_KH_M-Epcam-ALI_H3K4me3_S42.filtered.bam'	'13082024_KH_M-ALI_H3K27me3_S11.filtered.bam'	'07082024_KH_M-ALI_H3_S5.filtered.bam'	'21082024_KH_M-Epcam-ALI_H3K27me3_S43.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K27me3_S49.filtered.bam'	'13082024_KH_M-ALI_H3K9me3_S12.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3_S57.filtered.bam'	'07082024_KH_M-96-well_H3K27ac_S9.filtered.bam'	'13082024_KH_M-ALI_H3K4me3_S13.filtered.bam'	'29082024_KH_M-Epcam-ALI_H3K4me3_S46.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3K27ac_S50.filtered.bam'	'13082024_KH_M-96-well_H3K9me3_S16.filtered.bam'	'15082024_KH_M-ALI_H3K4me3_S28.filtered.bam'	'15082024_KH_M-ALI_H3K27ac_S29.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K27me3_S54.filtered.bam'	'07082024_KH_M-ALI_H3K4me3_S3.filtered.bam'	'29082024_KH_M-No-Epcam-ALI_H3_S52.filtered.bam'	'13082024_KH_M-96-well_H3K27me3_S15.filtered.bam'	'15082024_KH_M-96-well_H3K27me3_S31.filtered.bam'	'13082024_KH_M-96-well_H3_S19.filtered.bam'	'15082024_KH_M-96-well_H3_S35.filtered.bam'	'07082024_KH_M-96-well_H3K27me3_S6.filtered.bam'	'15082024_KH_M-96-well_H3K4me3_S33.filtered.bam'	'29082024_KH_M-No-Epcam-96-well_H3K27ac_S55.filtered.bam'	'15082024_KH_M-ALI_H3K9me3_S27.filtered.bam'	#'chr'	'start'	'end'	'15102024_KH_M-ALI_H3_S14.filtered.bam'	'15102024_KH_M-ALI_H3K27ac_S13.filtered.bam'	'15102024_KH_M-96-well_H3K4me3_S16.filtered.bam'	'15102024_KH_M-ALI_H3K4me3_S11.filtered.bam'	'15102024_KH_M-96-well_H3K9me3_S17.filtered.bam'	'15102024_KH_M-ALI_H3K9me3_S12.filtered.bam'	'15102024_KH_M-96-well_H3_S19.filtered.bam'	'15102024_KH_M-ALI_H3K27me3_S10.filtered.bam'	'15102024_KH_M-96-well_H3K27ac_S18.filtered.bam'	'15102024_KH_M-96-well_H3K27me3_S15.filtered.bam'
J02459.1_spikein	10000	11000	4355.0	13910.0	20194.0	18662.0	4007.0	20735.0	J02459.1_spikein	10000	11000	2160.0	1055.0	14163.0	2432.0	23809.0	762.0	4276.0	1868.0	7.0	49617.0	1183.0	7013.0	6296.0	2273.0	1644.0	3292.0	4931.0	873.0	0.0	4113.0	4467.0	1087.0	2526.0	5618.0	4946.0	2349.0	6263.0	2504.0	1111.0	15216.0	6054.0	3721.0	12676.0	1732.0	4769.0	3609.0	4137.0	4071.0	3640.0	1584.0	1219.0	3470.0	10410.0	11376.0	1673.0	J02459.1_spikein	10000	11000	2200.0	3287.0	16184.0	13693.0	2799.0	2336.0	2857.0	4290.0	4301.0	3157.0
J02459.1_spikein	11000	12000	4124.0	12740.0	18708.0	16987.0	3875.0	19316.0	J02459.1_spikein	11000	12000	1886.0	1058.0	13832.0	2155.0	21613.0	758.0	3861.0	1769.0	5.0	46132.0	1129.0	6598.0	5811.0	2185.0	1557.0	3160.0	4373.0	867.0	0.0	3738.0	3990.0	1080.0	2167.0	5306.0	4491.0	2168.0	5640.0	2301.0	1008.0	14785.0	5498.0	3593.0	11427.0	1794.0	4293.0	3393.0	3657.0	3482.0	3456.0	1487.0	1267.0	3003.0	9387.0	10416.0	1666.0	J02459.1_spikein	11000	12000	2191.0	2985.0	14568.0	12884.0	2568.0	2323.0	2723.0	4129.0	4163.0	2973.0
J02459.1_spikein	12000	13000	3735.0	11918.0	16867.0	15355.0	3232.0	16462.0	J02459.1_spikein	12000	13000	1627.0	924.0	11197.0	1962.0	20159.0	575.0	3517.0	1585.0	6.0	41808.0	1014.0	5370.0	5185.0	1795.0	1334.0	2573.0	4038.0	745.0	0.0	3285.0	3488.0	920.0	1852.0	4729.0	3994.0	1825.0	4951.0	1916.0	926.0	12232.0	5054.0	3212.0	10031.0	1613.0	3887.0	2982.0	3024.0	3181.0	2907.0	1206.0	963.0	2752.0	8730.0	9429.0	1266.0	J02459.1_spikein	12000	13000	1806.0	2779.0	12802.0	12037.0	2140.0	1903.0	2402.0	3561.0	3699.0	2682.0
J02459.1_spikein	13000	14000	5491.0	16860.0	23805.0	22663.0	5077.0	25647.0	J02459.1_spikein	13000	14000	2650.0	1402.0	18466.0	2884.0	29825.0	820.0	5071.0	2244.0	2.0	61361.0	1514.0	8631.0	7920.0	2891.0	1919.0	4091.0	5786.0	1154.0	0.0	5059.0	5540.0	1490.0	2877.0	6880.0	6074.0	2734.0	7678.0	2867.0	1351.0	19260.0	7203.0	4759.0	15181.0	2280.0	5944.0	4359.0	4921.0	4698.0	4393.0	2091.0	1667.0	4421.0	12689.0	13859.0	2047.0	J02459.1_spikein	13000	14000	2930.0	3752.0	19661.0	17432.0	3502.0	2871.0	3793.0	5410.0	5423.0	3852.0
J02459.1_spikein	14000	15000	4187.0	12754.0	17943.0	16379.0	3499.0	17840.0	J02459.1_spikein	14000	15000	1762.0	981.0	12545.0	2006.0	21189.0	651.0	3724.0	1704.0	2.0	45040.0	1056.0	6252.0	5585.0	1939.0	1368.0	2850.0	3963.0	879.0	0.0	3440.0	3857.0	987.0	2075.0	4878.0	4044.0	1970.0	5358.0	2073.0	971.0	13207.0	5359.0	3397.0	10774.0	1490.0	4102.0	3161.0	3415.0	3304.0	3285.0	1359.0	1164.0	3007.0	8851.0	9963.0	1445.0	J02459.1_spikein	14000	15000	2011.0	2863.0	14331.0	12806.0	2569.0	2163.0	2632.0	3817.0	3942.0	3012.0
J02459.1_spikein	15000	16000	5432.0	17371.0	24094.0	21743.0	4251.0	22707.0	J02459.1_spikein	15000	16000	2348.0	1213.0	15925.0	2843.0	28962.0	853.0	5230.0	2402.0	3.0	60764.0	1337.0	7884.0	7856.0	2605.0	1811.0	3573.0	5667.0	1035.0	2.0	4784.0	5129.0	1348.0	2867.0	6903.0	5347.0	2743.0	7060.0	2903.0	1313.0	17379.0	7220.0	4534.0	14579.0	2095.0	5711.0	4608.0	4625.0	4714.0	4321.0	1866.0	1441.0	4205.0	12527.0	13511.0	1854.0	J02459.1_spikein	15000	16000	2632.0	3728.0	19764.0	17027.0	3225.0	2753.0	3508.0	5045.0	5327.0	3791.0
J02459.1_spikein	16000	17000	6397.0	19166.0	27170.0	26569.0	7787.0	32074.0	J02459.1_spikein	16000	17000	2995.0	1646.0	23674.0	3435.0	31835.0	1009.0	5689.0	2790.0	9.0	68976.0	1838.0	10841.0	8272.0	3492.0	2408.0	4736.0	6940.0	1453.0	0.0	5982.0	6170.0	1728.0	3539.0	7994.0	7296.0	3228.0	9041.0	3461.0	1635.0	24827.0	8221.0	5473.0	16462.0	2771.0	6798.0	5202.0	5878.0	5208.0	5114.0	2492.0	1899.0	4895.0	13667.0	15975.0	2444.0	J02459.1_spikein	16000	17000	3573.0	4740.0	21955.0	18855.0	4029.0	3431.0	4689.0	6626.0	6409.0	4464.0
J02459.1_spikein	17000	18000	3736.0	12227.0	16950.0	16221.0	4523.0	19211.0	J02459.1_spikein	17000	18000	1879.0	913.0	14196.0	1920.0	20286.0	571.0	3403.0	1623.0	0.0	42161.0	987.0	6631.0	5323.0	2012.0	1451.0	2828.0	4180.0	869.0	2.0	3550.0	3981.0	991.0	2035.0	4705.0	4365.0	1944.0	5520.0	2180.0	969.0	13988.0	4951.0	3326.0	9880.0	1515.0	3949.0	3123.0	3365.0	3157.0	3135.0	1566.0	1115.0	2759.0	8781.0	9575.0	1456.0	J02459.1_spikein	17000	18000	2060.0	2737.0	13765.0	11922.0	2590.0	2017.0	2746.0	3973.0	4004.0	2776.0
J02459.1_spikein	18000	19000	3666.0	12060.0	17247.0	15161.0	3290.0	16962.0	J02459.1_spikein	18000	19000	1732.0	871.0	10931.0	1808.0	20115.0	668.0	3545.0	1552.0	2.0	43344.0	977.0	5458.0	5161.0	1732.0	1331.0	2682.0	3845.0	718.0	0.0	3287.0	3540.0	926.0	1922.0	4718.0	3908.0	1848.0	4773.0	2107.0	839.0	12138.0	5030.0	3222.0	10277.0	1521.0	3750.0	2937.0	3170.0	3466.0	2827.0	1202.0	989.0	2777.0	8614.0	9157.0	1381.0	J02459.1_spikein	18000	19000	1870.0	2617.0	13025.0	11820.0	2301.0	1818.0	2508.0	3488.0	3770.0	2561.0
J02459.1_spikein	19000	20000	5791.0	18412.0	25643.0	24673.0	5697.0	27789.0	J02459.1_spikein	19000	20000	2686.0	1340.0	19078.0	2994.0	31541.0	945.0	5342.0	2295.0	2.0	65158.0	1618.0	9027.0	8461.0	2846.0	2153.0	4290.0	6194.0	1225.0	2.0	5369.0	5597.0	1543.0	3120.0	7533.0	6223.0	2982.0	7859.0	3041.0	1365.0	19907.0	7847.0	4948.0	15814.0	2449.0	6136.0	4598.0	4910.0	4929.0	4650.0	2103.0	1642.0	4529.0	13073.0	14755.0	2152.0	J02459.1_spikein	19000	20000	2924.0	3998.0	20764.0	18953.0	3690.0	3046.0	4018.0	5753.0	5901.0	4189.0
